date,sales_rep_id,customer_id,deal_value,pipeline_stage
2022-06-18,REP-699,CUST-58411,76402.45,Negotiation
2023-04-28,REP-670,CUST-27989,72483.89,Prospecting
2023-03-28,REP-393,CUST-18512,61667.13,Closed Lost
2022-02-16,REP-262,CUST-40652,99926.01,Negotiation
2023-03-08,REP-428,CUST-88857,34060.87,Closed Lost
2022-10-16,REP-866,CUST-53457,72861.35,Closed Lost
2023-03-30,REP-175,CUST-13615,59029.96,Closed Lost
2022-09-08,REP-972,CUST-51869,52842.4,Qualification
2022-02-26,REP-884,CUST-10238,72650.39,Proposal
2022-04-27,REP-547,CUST-80383,29027.69,Negotiation
2022-02-27,REP-589,CUST-49370,94341.99,Prospecting
2022-09-07,REP-895,CUST-24970,96429.58,Negotiation
2022-09-21,REP-979,CUST-62597,75461.2,Qualification
2022-07-31,REP-463,CUST-97323,62588.85,Closed Won
2022-05-09,REP-866,CUST-79498,92030.62,Closed Won
2023-04-03,REP-867,CUST-24339,73264.5,Prospecting
2022-07-06,REP-996,CUST-46094,69534.57,Negotiation
2022-11-14,REP-172,CUST-45787,2164.31,Negotiation
2022-05-11,REP-632,CUST-89716,71637.33,Proposal
2022-09-09,REP-111,CUST-43690,37237.53,Closed Won
2022-11-21,REP-181,CUST-73064,63951.02,Prospecting
2023-01-15,REP-194,CUST-72033,96249.37,Qualification
2022-11-25,REP-636,CUST-70371,89879.05,Closed Lost
2023-04-25,REP-468,CUST-38875,15262.24,Closed Won
2022-03-25,REP-181,CUST-79155,48016.97,Negotiation
2022-01-19,REP-627,CUST-37369,30504.13,Negotiation
2022-05-30,REP-122,CUST-23975,78376.25,Qualification
2022-05-16,REP-556,CUST-85638,54113.71,Negotiation
2022-05-15,REP-677,CUST-97632,17970.23,Negotiation
2023-02-13,REP-246,CUST-83010,7816.19,Proposal
2022-05-26,REP-770,CUST-59105,20979.27,Closed Lost
2022-01-25,REP-168,CUST-56656,26120.88,Prospecting
2022-07-05,REP-126,CUST-58488,40586.91,Prospecting
2022-01-04,REP-574,CUST-71699,50488.7,Closed Lost
2023-02-28,REP-983,CUST-74988,81525.81,Closed Lost
2023-03-03,REP-538,CUST-79778,20792.79,Proposal
2023-01-18,REP-979,CUST-76893,83911.51,Proposal
2023-04-04,REP-543,CUST-46500,59009.69,Closed Won
2022-10-15,REP-439,CUST-75717,47869.24,Prospecting
2022-07-30,REP-547,CUST-42562,89923.29,Prospecting
2023-04-14,REP-495,CUST-21600,66484.78,Qualification
2023-02-26,REP-419,CUST-69745,65316.32,Proposal
2023-02-09,REP-490,CUST-23996,11160.15,Proposal
2023-02-12,REP-292,CUST-83529,10509.76,Negotiation
2022-12-16,REP-905,CUST-86799,58001.34,Closed Lost
2022-08-24,REP-710,CUST-37625,6760.33,Closed Lost
2022-08-05,REP-494,CUST-53756,65507.81,Qualification
2022-03-15,REP-584,CUST-95234,79869.43,Negotiation
2022-08-03,REP-758,CUST-15392,13075.1,Negotiation
2022-12-10,REP-295,CUST-38509,11095.85,Closed Lost
2022-10-05,REP-750,CUST-34802,91395.95,Closed Won
2023-01-10,REP-135,CUST-28932,4760.2,Prospecting
2022-04-18,REP-780,CUST-64300,40048.85,Negotiation
2022-02-24,REP-557,CUST-23718,80489.79,Closed Won
2023-02-21,REP-706,CUST-16072,20194.0,Prospecting
2022-11-05,REP-332,CUST-39556,45664.42,Closed Lost
