date,sales_rep_id,total_sales_amount,deals_closed,customer_satisfaction_score
2023-01-17,REP-332,218797.71,4,4.6
2023-02-16,REP-816,441543.91,43,2.9
2023-02-06,REP-918,462372.08,34,4.4
2022-08-20,REP-567,383212.67,49,4.4
2023-02-10,REP-530,437005.54,14,4.6
2022-09-12,REP-101,75828.87,20,1.8
2022-09-23,REP-576,38917.62,11,1.3
2022-04-10,REP-438,425054.51,25,3.5
2023-03-20,REP-514,443593.17,26,4.7
2022-08-26,REP-559,467274.77,20,4.7
2023-02-08,REP-882,376358.16,35,2.6
2022-04-05,REP-700,314892.57,25,3.3
2022-02-27,REP-844,55857.91,4,3.1
2023-04-02,REP-625,464635.84,21,1.6
2022-03-16,REP-750,455815.64,8,1.7
2022-03-12,REP-626,213858.6,23,1.5
2022-02-14,REP-247,449459.67,22,3.6
2023-04-19,REP-180,447907.7,6,1.6
2022-06-06,REP-792,481072.63,21,2.8
2022-11-21,REP-288,465898.06,33,1.4
2022-05-21,REP-579,118731.9,1,2.5
2022-12-22,REP-447,393520.7,9,2.3
2023-02-08,REP-283,470973.82,21,4.5
2022-10-19,REP-959,424405.28,3,3.9
2022-06-04,REP-550,266469.59,17,3.4
2022-03-09,REP-135,20177.06,41,3.3
2022-09-05,REP-516,179764.0,4,1.1
2023-03-25,REP-403,348041.69,5,2.6
2023-03-16,REP-979,136717.24,20,3.1
2023-01-18,REP-618,322003.92,15,1.7
2022-11-11,REP-238,101385.52,40,2.1
2023-03-13,REP-584,454527.79,23,2.1
2022-06-05,REP-123,370870.35,39,3.4
2022-04-16,REP-400,27796.91,34,1.7
2022-06-04,REP-808,215728.13,39,4.5
2023-03-16,REP-563,263406.09,18,3.3
2022-05-04,REP-958,86445.16,9,3.2
2023-03-02,REP-695,244798.44,13,3.8
2023-02-26,REP-524,75620.37,25,2.2
2023-03-15,REP-377,150934.02,36,4.3
2022-04-01,REP-812,92173.89,5,2.8
2022-11-01,REP-562,358001.44,48,4.3
2022-10-22,REP-691,279174.42,43,2.0
2023-04-03,REP-454,448579.81,17,3.4
2022-09-09,REP-103,344757.0,13,3.9
2022-02-10,REP-921,209521.82,19,2.8
2022-10-19,REP-521,478698.06,4,2.3
2022-02-06,REP-234,247126.84,26,4.6
2022-05-04,REP-592,138572.34,28,1.2
2022-09-21,REP-917,17475.03,22,3.8
2022-06-16,REP-744,323271.92,19,4.4
2022-11-16,REP-253,145002.12,34,1.2
2022-03-16,REP-187,338158.79,18,2.8
2022-06-17,REP-270,42645.92,28,2.8
2022-10-11,REP-554,63125.83,39,2.1
2022-10-31,REP-353,228539.98,43,1.7
2022-02-02,REP-899,292724.46,3,2.1
2023-04-28,REP-453,489442.04,44,1.2
2022-09-14,REP-681,419936.0,40,1.2
2023-02-03,REP-796,368530.38,32,1.3
2023-02-05,REP-216,153356.8,10,4.7
2023-01-04,REP-892,190104.13,11,2.1
2023-01-29,REP-921,201011.67,19,3.2
2022-09-21,REP-120,241620.32,37,4.9
2022-12-31,REP-497,350526.75,43,2.4
2022-03-26,REP-799,157554.04,44,1.9
2022-10-06,REP-725,227430.11,41,1.1
2022-07-24,REP-205,274779.25,17,3.0
2022-02-20,REP-318,26823.75,5,3.5
2022-02-26,REP-550,369246.46,8,3.8
2022-07-12,REP-572,438126.49,23,1.1
2022-04-01,REP-719,53612.6,2,3.4
2022-03-03,REP-403,447830.29,7,2.1
2022-12-18,REP-774,41750.28,42,2.9
2023-03-20,REP-415,445530.18,24,1.9
2023-02-19,REP-254,220782.84,27,4.1
2022-02-16,REP-613,480657.77,34,4.5
2022-10-21,REP-163,147916.42,6,4.8
2023-03-03,REP-743,187462.24,48,5.0
2022-01-18,REP-868,120466.83,28,2.2
2022-12-16,REP-476,360111.92,41,4.1
2022-12-15,REP-562,256937.85,31,3.2
2022-12-21,REP-736,371766.06,31,1.5
2023-04-09,REP-229,428230.51,31,4.5
2022-01-06,REP-237,374805.44,20,2.3
2023-01-11,REP-577,359084.11,17,4.5
2022-07-09,REP-897,334956.33,44,2.1
2023-02-21,REP-354,499870.71,1,3.1
2022-11-19,REP-680,67378.87,47,4.0
2023-02-22,REP-641,29859.15,39,1.9
2022-06-11,REP-760,429075.59,29,4.5
2023-03-28,REP-663,369453.04,44,2.0
2022-11-23,REP-372,369832.56,1,4.3
2022-06-05,REP-874,476323.43,1,2.6
2023-02-14,REP-357,386908.48,50,2.7
2023-01-03,REP-208,367830.79,11,4.9
2022-06-13,REP-632,298196.74,33,3.2
2023-04-10,REP-493,76931.25,27,3.3
2022-12-04,REP-675,163862.14,36,3.3
2023-01-06,REP-865,282935.84,47,4.2
2023-01-06,REP-306,329552.48,23,3.1
2022-04-10,REP-291,357353.85,19,4.1
2022-12-20,REP-929,379722.48,2,3.3
2022-10-09,REP-398,72627.6,20,4.6
2022-07-12,REP-563,105869.5,26,5.0
2023-03-19,REP-735,450797.27,28,2.4
2022-07-14,REP-850,227645.21,16,2.7
2022-10-28,REP-848,267343.94,5,1.1
2022-10-13,REP-185,351400.75,26,1.6
2022-09-24,REP-758,478937.2,2,1.1
2022-08-18,REP-156,186687.36,26,2.7
2022-01-12,REP-916,331481.71,45,2.2
2023-04-11,REP-396,310293.12,35,3.9
